          atime          uplus          yplus           Wshr          trash          trash
  2.0799350E+02  2.3244852E-04  2.3244882E-04  1.1445750E-02  9.5455000E-02  9.5455000E-02
  2.0799350E+02  2.7270432E+00  2.8154201E+00  1.1445750E-02  1.0096000E-01  1.0096000E-01
  2.0799350E+02  4.9371146E+00  5.6331647E+00  1.1445750E-02  1.0647000E-01  1.0647000E-01
  2.0799350E+02  6.3146884E+00  8.4509094E+00  1.1445750E-02  1.1198000E-01  1.1198000E-01
  2.0799350E+02  7.0399136E+00  1.1268654E+01  1.1445750E-02  1.1749000E-01  1.1749000E-01
  2.0799350E+02  7.4073041E+00  1.4086399E+01  1.1445750E-02  1.2300000E-01  1.2300000E-01
  2.0799350E+02  7.6043498E+00  1.6904143E+01  1.1445750E-02  1.2851000E-01  1.2851000E-01
  2.0799350E+02  7.7215558E+00  1.9721888E+01  1.1445750E-02  1.3402000E-01  1.3402000E-01
  2.0799350E+02  7.8018577E+00  2.2539632E+01  1.1445750E-02  1.3953000E-01  1.3953000E-01
  2.0799350E+02  7.8663261E+00  2.5357377E+01  1.1445750E-02  1.4504000E-01  1.4504000E-01
  2.0799350E+02  7.9257636E+00  2.8175122E+01  1.1445750E-02  1.5055000E-01  1.5055000E-01
  2.0799350E+02  7.9848537E+00  3.0992866E+01  1.1445750E-02  1.5606000E-01  1.5606000E-01
  2.0799350E+02  8.0448339E+00  3.3810611E+01  1.1445750E-02  1.6157000E-01  1.6157000E-01
  2.0799350E+02  8.1054859E+00  3.6628355E+01  1.1445750E-02  1.6708000E-01  1.6708000E-01
  2.0799350E+02  8.1665161E+00  3.9446100E+01  1.1445750E-02  1.7259000E-01  1.7259000E-01
  2.0799350E+02  8.2282595E+00  4.2263845E+01  1.1445750E-02  1.7810000E-01  1.7810000E-01
  2.0799350E+02  8.2910436E+00  4.5081589E+01  1.1445750E-02  1.8361000E-01  1.8361000E-01
  2.0799350E+02  8.3544311E+00  4.7899334E+01  1.1445750E-02  1.8912000E-01  1.8912000E-01
  2.0799350E+02  8.4177152E+00  5.0717079E+01  1.1445750E-02  1.9463000E-01  1.9463000E-01
  2.0799350E+02  8.4803426E+00  5.3534823E+01  1.1445750E-02  2.0014000E-01  2.0014000E-01
  2.0799350E+02  8.5420614E+00  5.6352568E+01  1.1445750E-02  2.0565000E-01  2.0565000E-01
  2.0799350E+02  8.6029772E+00  5.9170312E+01  1.1445750E-02  2.1116000E-01  2.1116000E-01
  2.0799350E+02  8.6635054E+00  6.1988057E+01  1.1445750E-02  2.1667000E-01  2.1667000E-01
  2.0799350E+02  8.7242110E+00  6.4805802E+01  1.1445750E-02  2.2218000E-01  2.2218000E-01
  2.0799350E+02  8.7855251E+00  6.7623546E+01  1.1445750E-02  2.2769000E-01  2.2769000E-01
  2.0799350E+02  8.8473273E+00  7.0441291E+01  1.1445750E-02  2.3320000E-01  2.3320000E-01
  2.0799350E+02  8.9088968E+00  7.3259035E+01  1.1445750E-02  2.3871000E-01  2.3871000E-01
  2.0799350E+02  8.9693922E+00  7.6071666E+01  1.1445750E-02  2.4421000E-01  2.4421000E-01
  2.0799350E+02  9.0285494E+00  7.8889411E+01  1.1445750E-02  2.4972000E-01  2.4972000E-01
  2.0799350E+02  9.0858267E+00  8.1707155E+01  1.1445750E-02  2.5523000E-01  2.5523000E-01
  2.0799350E+02  9.1409814E+00  8.4524900E+01  1.1445750E-02  2.6074000E-01  2.6074000E-01
  2.0799350E+02  9.1940945E+00  8.7342645E+01  1.1445750E-02  2.6625000E-01  2.6625000E-01
  2.0799350E+02  9.2455516E+00  9.0160389E+01  1.1445750E-02  2.7176000E-01  2.7176000E-01
  2.0799350E+02  9.2959222E+00  9.2978134E+01  1.1445750E-02  2.7727000E-01  2.7727000E-01
  2.0799350E+02  9.3457852E+00  9.5795878E+01  1.1445750E-02  2.8278000E-01  2.8278000E-01
  2.0799350E+02  9.3955546E+00  9.8613623E+01  1.1445750E-02  2.8829000E-01  2.8829000E-01
  2.0799350E+02  9.4453535E+00  1.0143137E+02  1.1445750E-02  2.9380000E-01  2.9380000E-01
  2.0799350E+02  9.4949888E+00  1.0424911E+02  1.1445750E-02  2.9931000E-01  2.9931000E-01
  2.0799350E+02  9.5440769E+00  1.0706686E+02  1.1445750E-02  3.0482000E-01  3.0482000E-01
  2.0799350E+02  9.5924509E+00  1.0988460E+02  1.1445750E-02  3.1033000E-01  3.1033000E-01
  2.0799350E+02  9.6405305E+00  1.1270235E+02  1.1445750E-02  3.1584000E-01  3.1584000E-01
  2.0799350E+02  9.6881581E+00  1.1552009E+02  1.1445750E-02  3.2135000E-01  3.2135000E-01
  2.0799350E+02  9.7352845E+00  1.1833784E+02  1.1445750E-02  3.2686000E-01  3.2686000E-01
  2.0799350E+02  9.7819743E+00  1.2115558E+02  1.1445750E-02  3.3237000E-01  3.3237000E-01
  2.0799350E+02  9.8283155E+00  1.2397332E+02  1.1445750E-02  3.3788000E-01  3.3788000E-01
  2.0799350E+02  9.8743640E+00  1.2679107E+02  1.1445750E-02  3.4339000E-01  3.4339000E-01
  2.0799350E+02  9.9201174E+00  1.2960881E+02  1.1445750E-02  3.4890000E-01  3.4890000E-01
  2.0799350E+02  9.9655113E+00  1.3242656E+02  1.1445750E-02  3.5441000E-01  3.5441000E-01
  2.0799350E+02  1.0010434E+01  1.3524430E+02  1.1445750E-02  3.5992000E-01  3.5992000E-01
  2.0799350E+02  1.0054749E+01  1.3806205E+02  1.1445750E-02  3.6543000E-01  3.6543000E-01
  2.0799350E+02  1.0098331E+01  1.4087979E+02  1.1445750E-02  3.7094000E-01  3.7094000E-01
  2.0799350E+02  1.0141089E+01  1.4369754E+02  1.1445750E-02  3.7645000E-01  3.7645000E-01
  2.0799350E+02  1.0182996E+01  1.4651528E+02  1.1445750E-02  3.8196000E-01  3.8196000E-01
  2.0799350E+02  1.0224096E+01  1.4933303E+02  1.1445750E-02  3.8747000E-01  3.8747000E-01
  2.0799350E+02  1.0264365E+01  1.5215077E+02  1.1445750E-02  3.9298000E-01  3.9298000E-01
  2.0799350E+02  1.0304050E+01  1.5496340E+02  1.1445750E-02  3.9848000E-01  3.9848000E-01
  2.0799350E+02  1.0343587E+01  1.5778115E+02  1.1445750E-02  4.0399000E-01  4.0399000E-01
  2.0799350E+02  1.0382859E+01  1.6059889E+02  1.1445750E-02  4.0950000E-01  4.0950000E-01
  2.0799350E+02  1.0421742E+01  1.6341664E+02  1.1445750E-02  4.1501000E-01  4.1501000E-01
  2.0799350E+02  1.0460115E+01  1.6623438E+02  1.1445750E-02  4.2052000E-01  4.2052000E-01
  2.0799350E+02  1.0497905E+01  1.6905212E+02  1.1445750E-02  4.2603000E-01  4.2603000E-01
  2.0799350E+02  1.0535101E+01  1.7186987E+02  1.1445750E-02  4.3154000E-01  4.3154000E-01
  2.0799350E+02  1.0571754E+01  1.7468761E+02  1.1445750E-02  4.3705000E-01  4.3705000E-01
  2.0799350E+02  1.0607956E+01  1.7750536E+02  1.1445750E-02  4.4256000E-01  4.4256000E-01
  2.0799350E+02  1.0643807E+01  1.8032310E+02  1.1445750E-02  4.4807000E-01  4.4807000E-01
  2.0799350E+02  1.0679384E+01  1.8314085E+02  1.1445750E-02  4.5358000E-01  4.5358000E-01
  2.0799350E+02  1.0714709E+01  1.8595859E+02  1.1445750E-02  4.5909000E-01  4.5909000E-01
  2.0799350E+02  1.0749721E+01  1.8877634E+02  1.1445750E-02  4.6460000E-01  4.6460000E-01
  2.0799350E+02  1.0784272E+01  1.9159408E+02  1.1445750E-02  4.7011000E-01  4.7011000E-01
  2.0799350E+02  1.0818130E+01  1.9441183E+02  1.1445750E-02  4.7562000E-01  4.7562000E-01
  2.0799350E+02  1.0851086E+01  1.9722957E+02  1.1445750E-02  4.8113000E-01  4.8113000E-01
  2.0799350E+02  1.0883173E+01  2.0004732E+02  1.1445750E-02  4.8664000E-01  4.8664000E-01
  2.0799350E+02  1.0914394E+01  2.0286506E+02  1.1445750E-02  4.9215000E-01  4.9215000E-01
  2.0799350E+02  1.0944845E+01  2.0568280E+02  1.1445750E-02  4.9766000E-01  4.9766000E-01
  2.0799350E+02  1.0974564E+01  2.0850055E+02  1.1445750E-02  5.0317000E-01  5.0317000E-01
  2.0799350E+02  1.1003548E+01  2.1131829E+02  1.1445750E-02  5.0868000E-01  5.0868000E-01
  2.0799350E+02  1.1031776E+01  2.1413604E+02  1.1445750E-02  5.1419000E-01  5.1419000E-01
  2.0799350E+02  1.1059225E+01  2.1695378E+02  1.1445750E-02  5.1970000E-01  5.1970000E-01
  2.0799350E+02  1.1085878E+01  2.1977153E+02  1.1445750E-02  5.2521000E-01  5.2521000E-01
  2.0799350E+02  1.1111738E+01  2.2258927E+02  1.1445750E-02  5.3072000E-01  5.3072000E-01
  2.0799350E+02  1.1136830E+01  2.2540702E+02  1.1445750E-02  5.3623000E-01  5.3623000E-01
  2.0799350E+02  1.1161199E+01  2.2822476E+02  1.1445750E-02  5.4174000E-01  5.4174000E-01
  2.0799350E+02  1.1184901E+01  2.3104251E+02  1.1445750E-02  5.4725000E-01  5.4725000E-01
  2.0799350E+02  1.1207953E+01  2.3385514E+02  1.1445750E-02  5.5275000E-01  5.5275000E-01
  2.0799350E+02  1.1230477E+01  2.3667288E+02  1.1445750E-02  5.5826000E-01  5.5826000E-01
  2.0799350E+02  1.1252418E+01  2.3949063E+02  1.1445750E-02  5.6377000E-01  5.6377000E-01
  2.0799350E+02  1.1273684E+01  2.4230837E+02  1.1445750E-02  5.6928000E-01  5.6928000E-01
  2.0799350E+02  1.1294086E+01  2.4512612E+02  1.1445750E-02  5.7479000E-01  5.7479000E-01
  2.0799350E+02  1.1313491E+01  2.4794386E+02  1.1445750E-02  5.8030000E-01  5.8030000E-01
  2.0799350E+02  1.1332005E+01  2.5076160E+02  1.1445750E-02  5.8581000E-01  5.8581000E-01
  2.0799350E+02  1.1349706E+01  2.5357935E+02  1.1445750E-02  5.9132000E-01  5.9132000E-01
  2.0799350E+02  1.1366594E+01  2.5639709E+02  1.1445750E-02  5.9683000E-01  5.9683000E-01
  2.0799350E+02  1.1382626E+01  2.5921484E+02  1.1445750E-02  6.0234000E-01  6.0234000E-01
  2.0799350E+02  1.1397739E+01  2.6203258E+02  1.1445750E-02  6.0785000E-01  6.0785000E-01
  2.0799350E+02  1.1411876E+01  2.6485033E+02  1.1445750E-02  6.1336000E-01  6.1336000E-01
  2.0799350E+02  1.1424988E+01  2.6766807E+02  1.1445750E-02  6.1887000E-01  6.1887000E-01
  2.0799350E+02  1.1437045E+01  2.7048582E+02  1.1445750E-02  6.2438000E-01  6.2438000E-01
  2.0799350E+02  1.1448033E+01  2.7330356E+02  1.1445750E-02  6.2989000E-01  6.2989000E-01
  2.0799350E+02  1.1457953E+01  2.7612131E+02  1.1445750E-02  6.3540000E-01  6.3540000E-01
  2.0799350E+02  1.1466817E+01  2.7893905E+02  1.1445750E-02  6.4091000E-01  6.4091000E-01
  2.0799350E+02  0.0000000E+00  0.0000000E+00  1.0511558E-02  9.5360366E-02  9.5360366E-02
  2.0799350E+02  2.6824919E+00  2.7001268E+00  1.0511558E-02  1.0087000E-01  1.0087000E-01
  2.0799350E+02  4.9673902E+00  5.4004333E+00  1.0511558E-02  1.0638000E-01  1.0638000E-01
  2.0799350E+02  6.4622035E+00  8.1007397E+00  1.0511558E-02  1.1189000E-01  1.1189000E-01
  2.0799350E+02  7.2787320E+00  1.0801046E+01  1.0511558E-02  1.1740000E-01  1.1740000E-01
  2.0799350E+02  7.7000783E+00  1.3501353E+01  1.0511558E-02  1.2291000E-01  1.2291000E-01
  2.0799350E+02  7.9266265E+00  1.6201659E+01  1.0511558E-02  1.2842000E-01  1.2842000E-01
  2.0799350E+02  8.0598765E+00  1.8901966E+01  1.0511558E-02  1.3393000E-01  1.3393000E-01
  2.0799350E+02  8.1493181E+00  2.1602272E+01  1.0511558E-02  1.3944000E-01  1.3944000E-01
  2.0799350E+02  8.2192719E+00  2.4302578E+01  1.0511558E-02  1.4495000E-01  1.4495000E-01
  2.0799350E+02  8.2821803E+00  2.7002885E+01  1.0511558E-02  1.5046000E-01  1.5046000E-01
  2.0799350E+02  8.3436443E+00  2.9703191E+01  1.0511558E-02  1.5597000E-01  1.5597000E-01
  2.0799350E+02  8.4054558E+00  3.2403498E+01  1.0511558E-02  1.6148000E-01  1.6148000E-01
  2.0799350E+02  8.4676986E+00  3.5103804E+01  1.0511558E-02  1.6699000E-01  1.6699000E-01
  2.0799350E+02  8.5301939E+00  3.7804111E+01  1.0511558E-02  1.7250000E-01  1.7250000E-01
  2.0799350E+02  8.5933789E+00  4.0504417E+01  1.0511558E-02  1.7801000E-01  1.7801000E-01
  2.0799350E+02  8.6576219E+00  4.3204724E+01  1.0511558E-02  1.8352000E-01  1.8352000E-01
  2.0799350E+02  8.7226070E+00  4.5905030E+01  1.0511558E-02  1.8903000E-01  1.8903000E-01
  2.0799350E+02  8.7876852E+00  4.8605337E+01  1.0511558E-02  1.9454000E-01  1.9454000E-01
  2.0799350E+02  8.8522760E+00  5.1305643E+01  1.0511558E-02  2.0005000E-01  2.0005000E-01
  2.0799350E+02  8.9160501E+00  5.4005949E+01  1.0511558E-02  2.0556000E-01  2.0556000E-01
  2.0799350E+02  8.9790329E+00  5.6706256E+01  1.0511558E-02  2.1107000E-01  2.1107000E-01
  2.0799350E+02  9.0416023E+00  5.9406562E+01  1.0511558E-02  2.1658000E-01  2.1658000E-01
  2.0799350E+02  9.1043550E+00  6.2106869E+01  1.0511558E-02  2.2209000E-01  2.2209000E-01
  2.0799350E+02  9.1678142E+00  6.4807175E+01  1.0511558E-02  2.2760000E-01  2.2760000E-01
  2.0799350E+02  9.2320705E+00  6.7512383E+01  1.0511558E-02  2.3312000E-01  2.3312000E-01
  2.0799350E+02  9.2961557E+00  7.0212689E+01  1.0511558E-02  2.3863000E-01  2.3863000E-01
  2.0799350E+02  9.3592461E+00  7.2912995E+01  1.0511558E-02  2.4414000E-01  2.4414000E-01
  2.0799350E+02  9.4208445E+00  7.5613302E+01  1.0511558E-02  2.4965000E-01  2.4965000E-01
  2.0799350E+02  9.4806002E+00  7.8313608E+01  1.0511558E-02  2.5516000E-01  2.5516000E-01
  2.0799350E+02  9.5383175E+00  8.1013915E+01  1.0511558E-02  2.6067000E-01  2.6067000E-01
  2.0799350E+02  9.5940561E+00  8.3714221E+01  1.0511558E-02  2.6618000E-01  2.6618000E-01
  2.0799350E+02  9.6481254E+00  8.6414528E+01  1.0511558E-02  2.7169000E-01  2.7169000E-01
  2.0799350E+02  9.7010031E+00  8.9114834E+01  1.0511558E-02  2.7720000E-01  2.7720000E-01
  2.0799350E+02  9.7532104E+00  9.1815141E+01  1.0511558E-02  2.8271000E-01  2.8271000E-01
  2.0799350E+02  9.8051746E+00  9.4515447E+01  1.0511558E-02  2.8822000E-01  2.8822000E-01
  2.0799350E+02  9.8571095E+00  9.7215754E+01  1.0511558E-02  2.9373000E-01  2.9373000E-01
  2.0799350E+02  9.9089461E+00  9.9916060E+01  1.0511558E-02  2.9924000E-01  2.9924000E-01
  2.0799350E+02  9.9603439E+00  1.0261637E+02  1.0511558E-02  3.0475000E-01  3.0475000E-01
  2.0799350E+02  1.0010923E+01  1.0531667E+02  1.0511558E-02  3.1026000E-01  3.1026000E-01
  2.0799350E+02  1.0061108E+01  1.0801698E+02  1.0511558E-02  3.1577000E-01  3.1577000E-01
  2.0799350E+02  1.0110835E+01  1.1071729E+02  1.0511558E-02  3.2128000E-01  3.2128000E-01
