          atime         pdf_uu         pdf_vv         pdf_ww         pm1avg           tavg
  3.6000000E+02  3.9665782E-16 -1.3804933E-05  3.0066851E-17 -8.3118523E-02  0.0000000E+00
  3.6000000E+02 -3.7449075E-05  4.2976892E-03  5.7435315E-05 -8.3064448E-02  0.0000000E+00
  3.6000000E+02  1.0073261E-04  1.0180391E-02  1.7057546E-04 -8.2948481E-02  0.0000000E+00
  3.6000000E+02  7.8878245E-04  1.2810265E-02  2.6792547E-04 -8.2766361E-02  0.0000000E+00
  3.6000000E+02  2.1568145E-03  1.1573949E-02  2.5847099E-04 -8.2501346E-02  0.0000000E+00
  3.6000000E+02  3.7802516E-03  8.9436443E-03  1.4134425E-04 -8.2180242E-02  0.0000000E+00
  3.6000000E+02  5.0329339E-03  6.7225224E-03  7.3020471E-06 -8.1894352E-02  0.0000000E+00
  3.6000000E+02  5.5759996E-03  6.2580478E-03 -5.5636206E-05 -8.1748547E-02  0.0000000E+00
  3.6000000E+02  5.5759996E-03  6.2580478E-03 -5.5636206E-05 -8.1748547E-02  0.0000000E+00
  3.6000000E+02  7.0925657E-03  3.4719907E-03 -2.8582973E-04 -8.1276904E-02  0.0000000E+00
  3.6000000E+02  9.0489279E-03 -3.1020993E-04 -5.9785389E-04 -8.0060716E-02  0.0000000E+00
  3.6000000E+02  9.5952542E-03 -4.5615428E-03 -4.2347490E-04 -7.8252119E-02  0.0000000E+00
  3.6000000E+02  9.4076415E-03 -8.0711102E-03 -8.5388545E-05 -7.6355964E-02  0.0000000E+00
  3.6000000E+02  9.6019619E-03 -8.2772161E-03  1.4366717E-04 -7.4794716E-02  0.0000000E+00
  3.6000000E+02  9.9926549E-03 -6.8343373E-03  6.0921158E-04 -7.3733051E-02  0.0000000E+00
  3.6000000E+02  1.0247248E-02 -5.9290488E-03  9.0555923E-04 -7.3265020E-02  0.0000000E+00
  3.6000000E+02  1.0247248E-02 -5.9290488E-03  9.0555923E-04 -7.3265020E-02  0.0000000E+00
