          atime         ptr_uu         ptr_vv         ptr_ww         pm1avg           tavg
  3.6000000E+02  3.7507453E-17  8.8079651E-19  1.3501806E-16 -8.3118523E-02  0.0000000E+00
  3.6000000E+02  8.8416212E-04 -2.0473967E-05  3.4397312E-03 -8.3064448E-02  0.0000000E+00
  3.6000000E+02  1.7706465E-03 -1.4961729E-04  8.8222476E-03 -8.2948481E-02  0.0000000E+00
  3.6000000E+02  1.3374079E-03 -3.2066099E-04  1.2808732E-02 -8.2766361E-02  0.0000000E+00
  3.6000000E+02 -2.3368799E-04 -2.7350639E-04  1.4448816E-02 -8.2501346E-02  0.0000000E+00
  3.6000000E+02 -1.8099452E-03  9.8872209E-05  1.4504324E-02 -8.2180242E-02  0.0000000E+00
  3.6000000E+02 -2.7275248E-03  4.8408312E-04  1.3994066E-02 -8.1894352E-02  0.0000000E+00
  3.6000000E+02 -3.0729736E-03  9.8932242E-04  1.3646302E-02 -8.1748547E-02  0.0000000E+00
  3.6000000E+02 -3.0729736E-03  9.8932242E-04  1.3646302E-02 -8.1748547E-02  0.0000000E+00
  3.6000000E+02 -3.4952431E-03  1.5779328E-03  1.2248424E-02 -8.1276904E-02  0.0000000E+00
  3.6000000E+02 -2.8067431E-03  3.2834280E-03  7.8746630E-03 -8.0060716E-02  0.0000000E+00
  3.6000000E+02 -3.8196241E-04  4.9317337E-03  2.4200144E-04 -7.8252119E-02  0.0000000E+00
  3.6000000E+02  1.4484727E-03  7.6825116E-03 -7.8063190E-03 -7.6355964E-02  0.0000000E+00
  3.6000000E+02  2.3627248E-03  1.2036842E-02 -1.2994218E-02 -7.4794716E-02  0.0000000E+00
  3.6000000E+02  2.8196959E-03  1.5914804E-02 -1.4913021E-02 -7.3733051E-02  0.0000000E+00
  3.6000000E+02  3.0427560E-03  1.7549864E-02 -1.5331556E-02 -7.3265020E-02  0.0000000E+00
  3.6000000E+02  3.0427560E-03  1.7549864E-02 -1.5331556E-02 -7.3265020E-02  0.0000000E+00
  3.6000000E+02  3.3205477E-03  2.0436413E-02 -1.5327864E-02 -7.2509973E-02  0.0000000E+00
  3.6000000E+02  3.7665285E-03  2.5237077E-02 -1.3476888E-02 -7.0862421E-02  0.0000000E+00
  3.6000000E+02  3.8855610E-03  2.8202207E-02 -9.3504347E-03 -6.8478037E-02  0.0000000E+00
  3.6000000E+02  3.5206344E-03  2.6583574E-02 -5.2867276E-03 -6.5609308E-02  0.0000000E+00
  3.6000000E+02  2.3621614E-03  2.2687273E-02 -2.4051983E-03 -6.2779749E-02  0.0000000E+00
  3.6000000E+02  1.1749042E-03  2.0098827E-02 -7.3498085E-04 -6.0619977E-02  0.0000000E+00
  3.6000000E+02  5.7591247E-04  1.9355362E-02 -5.1409909E-05 -5.9616522E-02  0.0000000E+00
  3.6000000E+02  5.7591247E-04  1.9355362E-02 -5.1409909E-05 -5.9616522E-02  0.0000000E+00
  3.6000000E+02 -8.5270679E-05  1.8381313E-02  6.6261956E-04 -5.8261009E-02  0.0000000E+00
  3.6000000E+02 -1.6424671E-03  1.6821929E-02  1.8404398E-03 -5.5295207E-02  0.0000000E+00
  3.6000000E+02 -3.9150882E-03  1.3624674E-02  3.2929755E-03 -5.1320331E-02  0.0000000E+00
  3.6000000E+02 -6.2604085E-03  8.5661077E-03  4.7439275E-03 -4.7173717E-02  0.0000000E+00
  3.6000000E+02 -7.6970032E-03  5.1610325E-03  5.1756462E-03 -4.3642794E-02  0.0000000E+00
  3.6000000E+02 -8.3501137E-03  3.8815645E-03  5.3387803E-03 -4.1222196E-02  0.0000000E+00
  3.6000000E+02 -8.3680108E-03  3.6121376E-03  5.3092333E-03 -4.0169478E-02  0.0000000E+00
  3.6000000E+02 -8.3680108E-03  3.6121376E-03  5.3092333E-03 -4.0169478E-02  0.0000000E+00
  3.6000000E+02 -8.2584049E-03  3.3809509E-03  5.3357652E-03 -3.8919821E-02  0.0000000E+00
  3.6000000E+02 -7.9067796E-03  3.7400148E-03  4.9074769E-03 -3.6348228E-02  0.0000000E+00
  3.6000000E+02 -7.2090011E-03  4.9135581E-03  4.2815850E-03 -3.3157933E-02  0.0000000E+00
  3.6000000E+02 -6.2002841E-03  5.7454276E-03  3.8480480E-03 -3.0093468E-02  0.0000000E+00
  3.6000000E+02 -5.4974230E-03  5.3254745E-03  3.7740291E-03 -2.7648842E-02  0.0000000E+00
  3.6000000E+02 -5.2334090E-03  4.5704439E-03  3.7762508E-03 -2.6023429E-02  0.0000000E+00
  3.6000000E+02 -5.0990795E-03  4.2805048E-03  3.6636682E-03 -2.5319667E-02  0.0000000E+00
  3.6000000E+02 -5.0990795E-03  4.2805048E-03  3.6636682E-03 -2.5319667E-02  0.0000000E+00
  3.6000000E+02 -5.1067364E-03  4.1894224E-03  3.5211171E-03 -2.4539372E-02  0.0000000E+00
  3.6000000E+02 -4.8775440E-03  3.8042774E-03  3.0691766E-03 -2.2925384E-02  0.0000000E+00
  3.6000000E+02 -4.8061358E-03  3.3379964E-03  2.6965075E-03 -2.0881779E-02  0.0000000E+00
  3.6000000E+02 -4.8395821E-03  2.9248554E-03  2.7582653E-03 -1.8808811E-02  0.0000000E+00
  3.6000000E+02 -4.7590286E-03  2.5871069E-03  3.0779535E-03 -1.7054689E-02  0.0000000E+00
  3.6000000E+02 -4.7088246E-03  2.7100975E-03  3.1044762E-03 -1.5870511E-02  0.0000000E+00
  3.6000000E+02 -4.6608621E-03  2.7550321E-03  3.0760163E-03 -1.5355267E-02  0.0000000E+00
  3.6000000E+02 -4.6608621E-03  2.7550321E-03  3.0760163E-03 -1.5355267E-02  0.0000000E+00
  3.6000000E+02 -4.6280069E-03  2.4781132E-03  3.0613397E-03 -1.4817084E-02  0.0000000E+00
  3.6000000E+02 -4.4862550E-03  1.9160503E-03  2.9537068E-03 -1.3688742E-02  0.0000000E+00
  3.6000000E+02 -4.1455789E-03  1.4784663E-03  2.5966648E-03 -1.2266172E-02  0.0000000E+00
  3.6000000E+02 -3.7660715E-03  1.2075351E-03  2.5366178E-03 -1.0855396E-02  0.0000000E+00
  3.6000000E+02 -3.4046607E-03  1.0255006E-03  2.7229348E-03 -9.6862525E-03  0.0000000E+00
  3.6000000E+02 -3.2050316E-03  9.1436851E-04  2.6822729E-03 -8.8938929E-03  0.0000000E+00
  3.6000000E+02 -3.1369718E-03  8.2995043E-04  2.6156311E-03 -8.5501309E-03  0.0000000E+00
  3.6000000E+02 -3.1369718E-03  8.2995043E-04  2.6156311E-03 -8.5501309E-03  0.0000000E+00
  3.6000000E+02 -3.1044972E-03  6.8967993E-04  2.5620854E-03 -8.2002114E-03  0.0000000E+00
  3.6000000E+02 -3.0118434E-03  3.8285766E-04  2.4807758E-03 -7.4765135E-03  0.0000000E+00
  3.6000000E+02 -2.8777203E-03  1.7874521E-04  2.4529371E-03 -6.5608715E-03  0.0000000E+00
  3.6000000E+02 -2.6678119E-03  1.8159293E-04  2.1190995E-03 -5.6537933E-03  0.0000000E+00
  3.6000000E+02 -2.4664786E-03  2.1210056E-04  1.7166802E-03 -4.9101634E-03  0.0000000E+00
  3.6000000E+02 -2.3007715E-03  1.7556143E-04  1.4714624E-03 -4.4120319E-03  0.0000000E+00
  3.6000000E+02 -2.2349612E-03  1.1956030E-04  1.3574838E-03 -4.1915958E-03  0.0000000E+00
  3.6000000E+02 -2.2349612E-03  1.1956030E-04  1.3574838E-03 -4.1915958E-03  0.0000000E+00
  3.6000000E+02 -2.1533888E-03  1.1238091E-04  1.2918957E-03 -3.9799060E-03  0.0000000E+00
