          atime          uvari          vvari          wvari          pvari          tvari
  3.6000000E+02 -1.8717323E-20  5.9069806E-22  7.9329648E-22  5.4618555E-04  0.0000000E+00
  3.6000000E+02  1.1654039E-04  1.0500638E-08  5.8377504E-05  5.4528274E-04  0.0000000E+00
  3.6000000E+02  1.1623207E-03  8.2268379E-07  5.3478029E-04  5.4400415E-04  0.0000000E+00
  3.6000000E+02  4.2155015E-03  9.5274823E-06  1.7717431E-03  5.4347870E-04  0.0000000E+00
  3.6000000E+02  9.2212121E-03  4.3321451E-05  3.6668295E-03  5.4396870E-04  0.0000000E+00
  3.6000000E+02  1.4494964E-02  1.1134008E-04  5.7140169E-03  5.4491003E-04  0.0000000E+00
  3.6000000E+02  1.8270832E-02  1.9118739E-04  7.3206773E-03  5.4569546E-04  0.0000000E+00
  3.6000000E+02  1.9884242E-02  2.3765233E-04  8.0703007E-03  5.4607707E-04  0.0000000E+00
  3.6000000E+02  1.9884242E-02  2.3765233E-04  8.0703007E-03  5.4607707E-04  0.0000000E+00
  3.6000000E+02  2.4022497E-02  4.1381835E-04  1.0289590E-02  5.4703625E-04  0.0000000E+00
  3.6000000E+02  2.9212160E-02  1.0173318E-03  1.4748524E-02  5.4916540E-04  0.0000000E+00
  3.6000000E+02  3.0220826E-02  2.2831246E-03  1.9137435E-02  5.5337967E-04  0.0000000E+00
  3.6000000E+02  2.8741677E-02  4.0593813E-03  2.1516834E-02  5.6255268E-04  0.0000000E+00
  3.6000000E+02  2.7475803E-02  5.8224685E-03  2.2077375E-02  5.7562933E-04  0.0000000E+00
  3.6000000E+02  2.6898784E-02  7.1024642E-03  2.1921052E-02  5.8742547E-04  0.0000000E+00
  3.6000000E+02  2.6734418E-02  7.6683431E-03  2.1759815E-02  5.9313895E-04  0.0000000E+00
  3.6000000E+02  2.6734418E-02  7.6683431E-03  2.1759815E-02  5.9313895E-04  0.0000000E+00
  3.6000000E+02  2.6590181E-02  8.5514444E-03  2.1431651E-02  6.0252706E-04  0.0000000E+00
  3.6000000E+02  2.6680603E-02  1.0262755E-02  2.0622868E-02  6.2137641E-04  0.0000000E+00
  3.6000000E+02  2.7317444E-02  1.2036048E-02  1.9655410E-02  6.3993271E-04  0.0000000E+00
  3.6000000E+02  2.8223022E-02  1.3235811E-02  1.8927191E-02  6.5144698E-04  0.0000000E+00
  3.6000000E+02  2.9086299E-02  1.3761897E-02  1.8492657E-02  6.5592309E-04  0.0000000E+00
  3.6000000E+02  2.9621619E-02  1.3881333E-02  1.8290511E-02  6.5380218E-04  0.0000000E+00
  3.6000000E+02  2.9824859E-02  1.3878917E-02  1.8220681E-02  6.5109020E-04  0.0000000E+00
  3.6000000E+02  2.9824859E-02  1.3878917E-02  1.8220681E-02  6.5109020E-04  0.0000000E+00
  3.6000000E+02  3.0063596E-02  1.3829585E-02  1.8136423E-02  6.4536417E-04  0.0000000E+00
  3.6000000E+02  3.0438323E-02  1.3573289E-02  1.7937915E-02  6.2765809E-04  0.0000000E+00
  3.6000000E+02  3.0593884E-02  1.2992554E-02  1.7570959E-02  5.9569050E-04  0.0000000E+00
  3.6000000E+02  3.0174469E-02  1.2226281E-02  1.7041887E-02  5.5758523E-04  0.0000000E+00
  3.6000000E+02  2.9400630E-02  1.1561442E-02  1.6482427E-02  5.2173690E-04  0.0000000E+00
  3.6000000E+02  2.8598121E-02  1.1139871E-02  1.6059373E-02  4.9496318E-04  0.0000000E+00
  3.6000000E+02  2.8195413E-02  1.0965223E-02  1.5841860E-02  4.8281312E-04  0.0000000E+00
  3.6000000E+02  2.8195413E-02  1.0965223E-02  1.5841860E-02  4.8281312E-04  0.0000000E+00
  3.6000000E+02  2.7698885E-02  1.0763659E-02  1.5580492E-02  4.6802374E-04  0.0000000E+00
  3.6000000E+02  2.6639413E-02  1.0376913E-02  1.5013738E-02  4.3584527E-04  0.0000000E+00
  3.6000000E+02  2.5392429E-02  9.9644987E-03  1.4447496E-02  3.9340170E-04  0.0000000E+00
  3.6000000E+02  2.4335958E-02  9.6661986E-03  1.3924786E-02  3.5609864E-04  0.0000000E+00
  3.6000000E+02  2.3679728E-02  9.4888047E-03  1.3374010E-02  3.3247523E-04  0.0000000E+00
  3.6000000E+02  2.3331363E-02  9.3737775E-03  1.3009038E-02  3.1849404E-04  0.0000000E+00
  3.6000000E+02  2.3188641E-02  9.3139041E-03  1.2846774E-02  3.1270499E-04  0.0000000E+00
  3.6000000E+02  2.3188641E-02  9.3139041E-03  1.2846774E-02  3.1270499E-04  0.0000000E+00
  3.6000000E+02  2.3037279E-02  9.2462100E-03  1.2661575E-02  3.0628780E-04  0.0000000E+00
  3.6000000E+02  2.2676799E-02  9.0992858E-03  1.2211175E-02  2.9313047E-04  0.0000000E+00
  3.6000000E+02  2.2059833E-02  8.9092069E-03  1.1606682E-02  2.7640593E-04  0.0000000E+00
  3.6000000E+02  2.1343332E-02  8.6619415E-03  1.1043845E-02  2.5845499E-04  0.0000000E+00
  3.6000000E+02  2.0713448E-02  8.3821350E-03  1.0665353E-02  2.4222613E-04  0.0000000E+00
  3.6000000E+02  2.0232156E-02  8.1531494E-03  1.0384729E-02  2.3164788E-04  0.0000000E+00
  3.6000000E+02  2.0014677E-02  8.0512821E-03  1.0235135E-02  2.2710376E-04  0.0000000E+00
  3.6000000E+02  2.0014677E-02  8.0512821E-03  1.0235135E-02  2.2710376E-04  0.0000000E+00
  3.6000000E+02  1.9788430E-02  7.9372451E-03  1.0081634E-02  2.2208485E-04  0.0000000E+00
  3.6000000E+02  1.9317037E-02  7.6963214E-03  9.7419648E-03  2.1099348E-04  0.0000000E+00
  3.6000000E+02  1.8596171E-02  7.3654826E-03  9.2370204E-03  1.9662730E-04  0.0000000E+00
  3.6000000E+02  1.7691304E-02  7.0451807E-03  8.6753524E-03  1.8225760E-04  0.0000000E+00
  3.6000000E+02  1.6909614E-02  6.7767191E-03  8.2444530E-03  1.6937632E-04  0.0000000E+00
  3.6000000E+02  1.6377435E-02  6.5772967E-03  7.9218683E-03  1.6041124E-04  0.0000000E+00
  3.6000000E+02  1.6132976E-02  6.4853141E-03  7.7643175E-03  1.5647860E-04  0.0000000E+00
  3.6000000E+02  1.6132976E-02  6.4853141E-03  7.7643175E-03  1.5647860E-04  0.0000000E+00
  3.6000000E+02  1.5877459E-02  6.3906814E-03  7.5939716E-03  1.5253302E-04  0.0000000E+00
  3.6000000E+02  1.5312348E-02  6.1796443E-03  7.1934474E-03  1.4456045E-04  0.0000000E+00
  3.6000000E+02  1.4526840E-02  5.9185948E-03  6.6827412E-03  1.3418134E-04  0.0000000E+00
  3.6000000E+02  1.3655797E-02  5.6509646E-03  6.2174288E-03  1.2376405E-04  0.0000000E+00
  3.6000000E+02  1.2817415E-02  5.3990265E-03  5.8005633E-03  1.1589003E-04  0.0000000E+00
  3.6000000E+02  1.2219335E-02  5.2164659E-03  5.5397405E-03  1.1059056E-04  0.0000000E+00
  3.6000000E+02  1.1954942E-02  5.1330536E-03  5.4319227E-03  1.0813044E-04  0.0000000E+00
