          atime           conv           prod        pres_tr        pres_df        garbage
  3.6000000E+02  3.7462338E-06 -2.9442386E-19  8.6703155E-17 -6.9024664E-06 -1.8401967E-06
  3.6000000E+02 -1.9766243E-03  1.2769824E-02  7.0824148E-03  7.1000659E-03  4.1028424E-06
  3.6000000E+02 -1.1467244E-02  5.6169835E-02  5.7824990E-03  5.8514136E-03  3.1551486E-05
  3.6000000E+02 -2.0130879E-02  7.2912910E-02  4.4847399E-03  4.3848594E-03  1.1235849E-05
  3.6000000E+02 -2.4152469E-02  5.5196912E-02  3.0749523E-03  2.9784315E-03  2.3474388E-05
  3.6000000E+02 -2.5424700E-02  3.2521361E-02  1.4318392E-03  1.3554723E-03  2.2355123E-05
  3.6000000E+02 -2.6395168E-02  1.7666261E-02  4.6864108E-04  4.6014138E-04  2.7202460E-05
  3.6000000E+02 -2.6942564E-02  8.8630686E-03  9.0307576E-04  9.2936886E-04  1.9987143E-05
  3.6000000E+02 -2.7949231E-02  4.0744636E-03  2.5657492E-03  2.5418463E-03  2.1707296E-05
  3.6000000E+02 -2.9109706E-02  1.3004876E-03  5.1085361E-03  5.0805753E-03  1.8021585E-05
  3.6000000E+02 -3.0278339E-02 -3.3650718E-04  7.6987847E-03  7.6957325E-03  2.0747546E-05
  3.6000000E+02 -3.1221057E-02 -1.2081508E-03  9.9252646E-03  1.0006102E-02  2.9299692E-05
  3.6000000E+02 -3.1726015E-02 -1.4985340E-03  1.1503948E-02  1.1658547E-02  3.8945094E-05
  3.6000000E+02 -3.1690254E-02 -1.3339392E-03  1.2312821E-02  1.2485204E-02  4.7331514E-05
  3.6000000E+02 -3.1160685E-02 -8.2867075E-04  1.2394511E-02  1.2532171E-02  5.3080409E-05
  3.6000000E+02 -3.0295804E-02 -1.0072852E-04  1.1923805E-02  1.2004048E-02  5.2652478E-05
  3.6000000E+02 -2.9268135E-02  7.3793116E-04  1.1156871E-02  1.1184842E-02  4.2539452E-05
  3.6000000E+02 -2.8127373E-02  1.6118014E-03  1.0378930E-02  1.0395772E-02  3.3835805E-05
  3.6000000E+02 -2.6665419E-02  2.5517961E-03  9.8179379E-03  9.8466165E-03  5.1044493E-05
  3.6000000E+02 -2.5240472E-02  3.4394539E-03  9.2925156E-03  9.2021713E-03  3.3150311E-05
  3.6000000E+02 -2.3806756E-02  4.0893106E-03  8.7775715E-03  8.7346838E-03  3.7237684E-05
  3.6000000E+02 -2.2072793E-02  4.5950117E-03  8.1717798E-03  8.1560399E-03  3.4879033E-05
  3.6000000E+02 -1.9954020E-02  5.0295968E-03  7.4101818E-03  7.3898553E-03  2.4537775E-05
