          atime        pres_st        turb_df           diss        visc_df        garbage
  3.6000000E+02 -1.8401967E-06 -1.5585630E-05 -1.0934884E-01  1.0998138E-01 -2.9442386E-19
  3.6000000E+02  4.1028424E-06  6.3004391E-03 -8.2460565E-02  5.4361518E-02  1.2769824E-02
  3.6000000E+02  3.1551486E-05  6.4748309E-03 -5.3557630E-02 -2.6064506E-02  5.6169835E-02
  3.6000000E+02  1.1235849E-05 -1.5152342E-02 -4.3027262E-02 -3.9213898E-02  7.2912910E-02
  3.6000000E+02  2.3474388E-05 -2.2689574E-02 -3.8566007E-02 -2.1238952E-02  5.5196912E-02
  3.6000000E+02  2.2355123E-05 -1.6924138E-02 -3.4143842E-02 -8.0106955E-03  3.2521361E-02
  3.6000000E+02  2.7202460E-05 -1.0442423E-02 -3.0454302E-02 -2.8239007E-03  1.7666261E-02
  3.6000000E+02  1.9987143E-05 -7.8680947E-03 -2.8518819E-02 -3.9691882E-04  8.8630686E-03
  3.6000000E+02  2.1707296E-05 -7.9842182E-03 -2.7473848E-02 -1.5533016E-05  4.0744636E-03
  3.6000000E+02  1.8021585E-05 -9.7213170E-03 -2.6904071E-02  6.6702705E-04  1.3004876E-03
  3.6000000E+02  2.0747546E-05 -1.2134961E-02 -2.6377153E-02  2.8352444E-04 -3.3650718E-04
  3.6000000E+02  2.9299692E-05 -1.4368965E-02 -2.5926856E-02 -1.5486447E-04 -1.2081508E-03
  3.6000000E+02  3.8945094E-05 -1.6147249E-02 -2.5544158E-02 -3.7324269E-04 -1.4985340E-03
  3.6000000E+02  4.7331514E-05 -1.7249448E-02 -2.5187977E-02 -4.6451781E-04 -1.3339392E-03
  3.6000000E+02  5.3080409E-05 -1.7494789E-02 -2.4808466E-02 -5.6072848E-04 -8.2867075E-04
  3.6000000E+02  5.2652478E-05 -1.6987222E-02 -2.4373451E-02 -6.8199689E-04 -1.0072852E-04
  3.6000000E+02  4.2539452E-05 -1.6272145E-02 -2.3886417E-02 -7.3435738E-04  7.3793116E-04
  3.6000000E+02  3.3835805E-05 -1.6055115E-02 -2.3384499E-02 -6.2771104E-04  1.6118014E-03
  3.6000000E+02  5.1044493E-05 -1.6188623E-02 -2.2908242E-02 -4.9233085E-04  2.5517961E-03
  3.6000000E+02  3.3150311E-05 -1.6109340E-02 -2.2224138E-02 -3.8450872E-04  3.4394539E-03
  3.6000000E+02  3.7237684E-05 -1.5247989E-02 -2.1390904E-02 -3.2186800E-04  4.0893106E-03
  3.6000000E+02  3.4879033E-05 -1.3563434E-02 -2.0565726E-02 -3.5814267E-04  4.5950117E-03
  3.6000000E+02  2.4537775E-05 -1.1401336E-02 -1.9793175E-02 -4.3661395E-04  5.0295968E-03
  3.6000000E+02  1.3213053E-05 -9.0776537E-03 -1.9070814E-02 -4.8779426E-04  5.4261743E-03
  3.6000000E+02  6.6394806E-06 -6.7292719E-03 -1.8386226E-02 -4.7645046E-04  5.7798737E-03
  3.6000000E+02  5.9158778E-06 -4.3454246E-03 -1.7732590E-02 -4.1082713E-04  6.0634700E-03
  3.6000000E+02  8.4369456E-06 -1.8935552E-03 -1.7110004E-02 -3.2693063E-04  6.2490707E-03
  3.6000000E+02  1.1001847E-05  5.4672962E-04 -1.6519671E-02 -2.6073446E-04  6.3282599E-03
  3.6000000E+02  1.2973655E-05  2.7279598E-03 -1.5958146E-02 -2.2116685E-04  6.3230912E-03
  3.6000000E+02  1.7363621E-05  4.3437036E-03 -1.5418765E-02 -1.7674113E-04  6.2803221E-03
  3.6000000E+02  2.7714241E-05  5.3884188E-03 -1.4907448E-02 -6.8689619E-05  6.2412831E-03
  3.6000000E+02  3.8109838E-05  6.6453672E-03 -1.4458087E-02  1.1043909E-04  6.1939376E-03
  3.6000000E+02  3.6080574E-05  6.8133905E-03 -1.3813680E-02  1.7984748E-04  6.1821382E-03
  3.6000000E+02  3.2850558E-05  7.1607017E-03 -1.3158209E-02  3.6603921E-04  6.0528200E-03
  3.6000000E+02  2.8353261E-05  7.3119567E-03 -1.2529711E-02  5.2992325E-04  5.8431743E-03
  3.6000000E+02  2.2862627E-05  7.1460671E-03 -1.1945418E-02  6.0918224E-04  5.5975912E-03
  3.6000000E+02  1.6939776E-05  6.6951139E-03 -1.1411743E-02  5.9496246E-04  5.3567891E-03
  3.6000000E+02  1.1302142E-05  6.0653455E-03 -1.0930275E-02  5.1095746E-04  5.1510663E-03
  3.6000000E+02  6.6527285E-06  5.3787380E-03 -1.0500671E-02  3.9536681E-04  4.9970795E-03
  3.6000000E+02  3.5071846E-06  4.7336004E-03 -1.0121362E-02  2.8621177E-04  4.8975517E-03
  3.6000000E+02  2.0563806E-06  4.1827011E-03 -9.7889310E-03  2.1048939E-04  4.8433159E-03
  3.6000000E+02  2.1021848E-06  3.7273988E-03 -9.4970786E-03  1.7764663E-04  4.8170952E-03
  3.6000000E+02  3.1041282E-06  3.3262545E-03 -9.2360629E-03  1.7785618E-04  4.7984264E-03
  3.6000000E+02  4.3746490E-06  2.9166073E-03 -8.9934973E-03  1.8557551E-04  4.7691296E-03
  3.6000000E+02  5.4606096E-06  2.4475910E-03 -8.7574077E-03  1.6887087E-04  4.7187271E-03
  3.6000000E+02  6.7487769E-06  1.9230736E-03 -8.5224350E-03  1.0498769E-04  4.6492178E-03
  3.6000000E+02  1.0332957E-05  1.4529982E-03 -8.3000772E-03  2.6491600E-06  4.5786080E-03
  3.6000000E+02  1.7719946E-05  1.2425954E-03 -8.1133017E-03 -6.8950169E-05  4.5412421E-03
  3.6000000E+02  4.9431328E-06  8.0170763E-04 -7.8097157E-03 -9.3011060E-05  4.5541181E-03
  3.6000000E+02  3.0684668E-06  6.2504203E-04 -7.5633422E-03 -1.0941858E-04  4.5841254E-03
  3.6000000E+02  4.8178787E-06  5.7724556E-04 -7.3477316E-03 -1.1138146E-04  4.5953949E-03
  3.6000000E+02  6.5448712E-06  5.6581555E-04 -7.1518845E-03 -9.7660973E-05  4.5796332E-03
  3.6000000E+02  6.9395074E-06  5.3143813E-04 -6.9725260E-03 -7.0939891E-05  4.5440197E-03
  3.6000000E+02  6.0293589E-06  4.4086251E-04 -6.8089687E-03 -3.6376541E-05  4.5021033E-03
  3.6000000E+02  4.4444323E-06  2.8167685E-04 -6.6601366E-03 -3.3435337E-07  4.4673782E-03
  3.6000000E+02  2.9140938E-06  5.8351313E-05 -6.5233225E-03  3.0722815E-05  4.4492146E-03
  3.6000000E+02  1.9640127E-06 -2.1108605E-04 -6.3942499E-03  5.1179250E-05  4.4508236E-03
  3.6000000E+02  1.7811410E-06 -4.9837493E-04 -6.2680119E-03  5.7069517E-05  4.4689326E-03
  3.6000000E+02  2.2147514E-06 -7.6898429E-04 -6.1404593E-03  4.6743847E-05  4.4948508E-03
  3.6000000E+02  2.8815513E-06 -9.8734406E-04 -6.0096093E-03  2.1406452E-05  4.5166007E-03
  3.6000000E+02  3.3428939E-06 -1.1239815E-03 -5.8766467E-03 -1.4463558E-05  4.5217946E-03
  3.6000000E+02  3.3221044E-06 -1.1651963E-03 -5.7460905E-03 -5.2798969E-05  4.5009334E-03
  3.6000000E+02  2.9299426E-06 -1.1259094E-03 -5.6246965E-03 -8.1729301E-05  4.4508057E-03
  3.6000000E+02  2.8662205E-06 -1.0663188E-03 -5.5186689E-03 -8.5454005E-05  4.3776640E-03
  3.6000000E+02  4.5655943E-06 -1.1129980E-03 -5.4287524E-03 -4.4194336E-05  4.2998576E-03
  3.6000000E+02  1.0255552E-05 -1.4850705E-03 -5.3427771E-03  6.5785764E-05  4.2495980E-03
  3.6000000E+02  5.2662029E-06 -1.5517881E-03 -5.1999837E-03  6.8330426E-05  4.1568237E-03
  3.6000000E+02  2.2925700E-06 -1.5015310E-03 -5.0501204E-03  2.3478249E-05  4.0659705E-03
  3.6000000E+02  1.8106396E-06 -1.3945696E-03 -4.9064152E-03 -1.9835662E-05  3.9923883E-03
  3.6000000E+02  2.1537515E-06 -1.2193084E-03 -4.7719257E-03 -4.9949653E-05  3.9326804E-03
  3.6000000E+02  2.4869711E-06 -9.9596783E-04 -4.6483160E-03 -6.2488013E-05  3.8819589E-03
  3.6000000E+02  2.5079710E-06 -7.5881872E-04 -4.5358953E-03 -5.8130184E-05  3.8347986E-03
  3.6000000E+02  2.2185637E-06 -5.4324439E-04 -4.4338110E-03 -4.0758095E-05  3.7860078E-03
  3.6000000E+02  1.7586026E-06 -3.7709238E-04 -4.3403528E-03 -1.5947157E-05  3.7312208E-03
  3.6000000E+02  1.2939679E-06 -2.7577858E-04 -4.2533236E-03  1.0233583E-05  3.6673216E-03
  3.6000000E+02  9.5035599E-07 -2.4060571E-04 -4.1704379E-03  3.2146598E-05  3.5927043E-03
  3.6000000E+02  7.8458753E-07 -2.5975847E-04 -4.0897017E-03  4.5270834E-05  3.5073773E-03
  3.6000000E+02  7.8515361E-07 -3.1143776E-04 -4.0097335E-03  4.6680946E-05  3.4129195E-03
  3.6000000E+02  8.9371540E-07 -3.6859601E-04 -3.9299823E-03  3.5355284E-05  3.3122941E-03
  3.6000000E+02  1.0392754E-06 -4.0473603E-04 -3.8508015E-03  1.2347133E-05  3.2095278E-03
  3.6000000E+02  1.1767375E-06 -4.0023564E-04 -3.7733344E-03 -1.9146324E-05  3.1092628E-03
  3.6000000E+02  1.3215722E-06 -3.4866026E-04 -3.6991703E-03 -5.3782842E-05  3.0161874E-03
  3.6000000E+02  1.5723060E-06 -2.6252579E-04 -3.6297268E-03 -8.4107255E-05  2.9343541E-03
  3.6000000E+02  2.1125494E-06 -1.7797403E-04 -3.5653173E-03 -1.0058244E-04  2.8663896E-03
  3.6000000E+02  3.1842837E-06 -1.5782288E-04 -3.5038603E-03 -9.1584651E-05  2.8126071E-03
  3.6000000E+02  4.7815419E-06 -2.7563705E-04 -3.4377309E-03 -5.0188823E-05  2.7699152E-03
  3.6000000E+02  1.7441344E-06 -1.1164798E-04 -3.3437842E-03 -1.1134387E-04  2.7307159E-03
  3.6000000E+02  3.9382907E-07 -2.8104174E-05 -3.2699203E-03 -1.0648751E-04  2.6908195E-03
  3.6000000E+02  1.0904094E-08 -7.1553703E-06 -3.2065295E-03 -7.1994333E-05  2.6449664E-03
  3.6000000E+02  1.1316352E-07 -2.2183437E-05 -3.1468789E-03 -3.2027512E-05  2.5915515E-03
  3.6000000E+02  3.9924702E-07 -4.5972244E-05 -3.0867583E-03 -8.7345914E-07  2.5312009E-03
  3.6000000E+02  6.9979982E-07 -5.6116718E-05 -3.0240728E-03  1.4894920E-05  2.4656761E-03
  3.6000000E+02  9.3625830E-07 -3.8062557E-05 -2.9584021E-03  1.4433904E-05  2.3970698E-03
  3.6000000E+02  1.0870066E-06  1.3831910E-05 -2.8905448E-03  8.3110355E-07  2.3272607E-03
  3.6000000E+02  1.1606591E-06  9.6820226E-05 -2.8220675E-03 -2.0498375E-05  2.2575892E-03
  3.6000000E+02  1.1762251E-06  2.0148718E-04 -2.7548771E-03 -4.3214233E-05  2.1887226E-03
  3.6000000E+02  1.1499090E-06  3.1427156E-04 -2.6908366E-03 -6.1244200E-05  2.1206710E-03
  3.6000000E+02  1.0883032E-06  4.2040081E-04 -2.6314423E-03 -6.9760645E-05  2.0529222E-03
  3.6000000E+02  9.8772794E-07  5.0684610E-04 -2.5775828E-03 -6.5933039E-05  1.9846589E-03
  3.6000000E+02  8.3947363E-07  5.6490624E-04 -2.5293976E-03 -4.9448733E-05  1.9150233E-03
  3.6000000E+02  6.4070042E-07  5.9202916E-04 -2.4862561E-03 -2.2794526E-05  1.8433947E-03
  3.6000000E+02 -1.9090172E-06 -8.7701236E-06 -9.9023938E-02  9.9544614E-02  0.0000000E+00
  3.6000000E+02  4.2110319E-06  5.7363853E-03 -7.7588363E-02  5.3713110E-02  1.1598865E-02
  3.6000000E+02  3.3160482E-05  7.2147661E-03 -5.3002604E-02 -1.9985320E-02  5.4574924E-02
  3.6000000E+02  8.7748221E-06 -1.3398305E-02 -4.3039511E-02 -3.7963954E-02  7.6390169E-02
  3.6000000E+02  1.9208163E-05 -2.2072060E-02 -3.8840737E-02 -2.2202034E-02  6.1901024E-02
  3.6000000E+02  1.9255567E-05 -1.7098546E-02 -3.4454043E-02 -8.8006032E-03  3.8909877E-02
  3.6000000E+02  2.8607210E-05 -1.0543398E-02 -3.0413855E-02 -3.2053107E-03  2.2570216E-02
  3.6000000E+02  2.5634000E-05 -7.3598441E-03 -2.8185945E-02 -6.3460185E-04  1.2532988E-02
  3.6000000E+02  3.0187342E-05 -6.9333124E-03 -2.6973392E-02 -8.6327187E-05  6.8662338E-03
  3.6000000E+02  2.7817504E-05 -8.3635921E-03 -2.6349125E-02  6.3597048E-04  3.4843057E-03
  3.6000000E+02  2.8426921E-05 -1.0736787E-02 -2.5815624E-02  3.6950976E-04  1.4406998E-03
  3.6000000E+02  3.3548451E-05 -1.3005979E-02 -2.5379373E-02 -7.4915924E-06  2.6746879E-04
  3.6000000E+02  3.9052502E-05 -1.4888388E-02 -2.5018551E-02 -2.2160389E-04 -2.7188998E-04
  3.6000000E+02  4.3386651E-05 -1.6164406E-02 -2.4686689E-02 -3.4498001E-04 -3.2243414E-04
  3.6000000E+02  4.6067495E-05 -1.6605304E-02 -2.4333180E-02 -4.9666655E-04  1.2411977E-06
  3.6000000E+02  4.3704745E-05 -1.6245264E-02 -2.3931009E-02 -6.7397695E-04  5.8074221E-04
  3.6000000E+02  3.2017098E-05 -1.5590672E-02 -2.3487993E-02 -7.4142659E-04  1.3018994E-03
  3.6000000E+02  2.2104036E-05 -1.5352714E-02 -2.3041065E-02 -5.9518781E-04  2.0843381E-03
  3.6000000E+02  4.0999577E-05 -1.5399479E-02 -2.2607693E-02 -4.9221435E-04  2.9537380E-03
  3.6000000E+02  2.4007700E-05 -1.5433547E-02 -2.1973254E-02 -3.8537449E-04  3.8180789E-03
  3.6000000E+02  3.0524959E-05 -1.4892014E-02 -2.1198785E-02 -2.9592661E-04  4.4821034E-03
  3.6000000E+02  2.9419569E-05 -1.3585385E-02 -2.0416281E-02 -2.9645153E-04  4.9890176E-03
  3.6000000E+02  1.8998822E-05 -1.1746491E-02 -1.9670918E-02 -3.5680944E-04  5.4020682E-03
  3.6000000E+02  7.0082851E-06 -9.6464926E-03 -1.8968655E-02 -4.2291345E-04  5.7652450E-03
  3.6000000E+02 -8.2412147E-08 -7.4343063E-03 -1.8302248E-02 -4.5736483E-04  6.0908477E-03
  3.6000000E+02 -7.6170352E-07 -5.1579477E-03 -1.7669442E-02 -4.5119120E-04  6.3620804E-03
  3.6000000E+02  2.3647734E-06 -2.8226543E-03 -1.7066472E-02 -4.1707823E-04  6.5537739E-03
  3.6000000E+02  5.9438411E-06 -5.1262813E-04 -1.6491420E-02 -3.7202024E-04  6.6489277E-03
  3.6000000E+02  9.1611755E-06  1.5683851E-03 -1.5940209E-02 -3.2038673E-04  6.6545390E-03
  3.6000000E+02  1.4759269E-05  3.1796651E-03 -1.5409295E-02 -2.4622307E-04  6.6045502E-03
  3.6000000E+02  2.5448080E-05  4.3252910E-03 -1.4908614E-02 -1.2440565E-04  6.5430214E-03
  3.6000000E+02  3.3398590E-05  5.6538953E-03 -1.4468679E-02  1.9329423E-05  6.4916640E-03
  3.6000000E+02  3.2059515E-05  6.1757715E-03 -1.3844685E-02  8.0075318E-05  6.4816092E-03
  3.6000000E+02  2.9810064E-05  6.6799943E-03 -1.3205527E-02  2.5880248E-04  6.3606075E-03
  3.6000000E+02  2.6606961E-05  6.9573438E-03 -1.2586848E-02  4.3083439E-04  6.1590301E-03
  3.6000000E+02  2.2364337E-05  6.9217337E-03 -1.2005396E-02  5.3417100E-04  5.9152512E-03
  3.6000000E+02  1.7308238E-05  6.5858312E-03 -1.1471934E-02  5.5195356E-04  5.6679115E-03
  3.6000000E+02  1.1969591E-05  6.0289158E-03 -1.0988312E-02  4.9817001E-04  5.4460897E-03
  3.6000000E+02  7.0883317E-06  5.3624260E-03 -1.0555211E-02  4.0237012E-04  5.2680782E-03
  3.6000000E+02  3.3754773E-06  4.6975137E-03 -1.0171593E-02  2.9791603E-04  5.1400310E-03
  3.6000000E+02  1.2676676E-06  4.1172208E-03 -9.8344441E-03  2.1242056E-04  5.0571828E-03
  3.6000000E+02  7.4847658E-07  3.6572060E-03 -9.5381497E-03  1.6115455E-04  5.0066358E-03
  3.6000000E+02  1.3190891E-06  3.2986737E-03 -9.2741571E-03  1.4388541E-04  4.9712213E-03
  3.6000000E+02  2.2009295E-06  2.9771531E-03 -9.0315815E-03  1.4560920E-04  4.9339435E-03
  3.6000000E+02  2.8528286E-06  2.6107805E-03 -8.7994186E-03  1.4163844E-04  4.8825109E-03
  3.6000000E+02  3.8897165E-06  2.1506247E-03 -8.5705192E-03  1.0738677E-04  4.8132936E-03
  3.6000000E+02  8.4733350E-06  1.6635000E-03 -8.3510425E-03  3.3964654E-05  4.7352281E-03
  3.6000000E+02  1.9323090E-05  1.3778171E-03 -8.1497490E-03 -4.6312027E-05  4.6693155E-03
  3.6000000E+02  3.4113106E-06  9.4811545E-04 -7.8451439E-03 -6.8652317E-05  4.6554920E-03
  3.6000000E+02  8.5287792E-07  7.1121395E-04 -7.5932340E-03 -9.3174532E-05  4.6756241E-03
  3.6000000E+02  2.9133675E-06  5.9597484E-04 -7.3704146E-03 -1.1093585E-04  4.6834530E-03
  3.6000000E+02  5.2199965E-06  5.4099015E-04 -7.1680459E-03 -1.1480112E-04  4.6652348E-03
  3.6000000E+02  6.1624297E-06  4.9530891E-04 -6.9843577E-03 -1.0144636E-04  4.6259500E-03
  3.6000000E+02  5.6825991E-06  4.2010586E-04 -6.8192073E-03 -7.2039456E-05  4.5788831E-03
  3.6000000E+02  4.4062020E-06  2.9066354E-04 -6.6712011E-03 -3.1859900E-05  4.5382114E-03
  3.6000000E+02  3.0659463E-06  9.7543942E-05 -6.5364064E-03  1.0972038E-05  4.5142112E-03
  3.6000000E+02  2.1861177E-06 -1.5080656E-04 -6.4099045E-03  4.6824446E-05  4.5109478E-03
  3.6000000E+02  1.9355040E-06 -4.3150144E-04 -6.2853140E-03  6.7153232E-05  4.5253939E-03
  3.6000000E+02  2.1660597E-06 -7.0869680E-04 -6.1577167E-03  6.6113758E-05  4.5487180E-03
  3.6000000E+02  2.5397869E-06 -9.3982782E-04 -6.0249883E-03  4.2418774E-05  4.5684307E-03
  3.6000000E+02  2.7163270E-06 -1.0849437E-03 -5.8888838E-03  5.9224141E-07  4.5714483E-03
  3.6000000E+02  2.5507752E-06 -1.1201272E-03 -5.7550779E-03 -4.8546906E-05  4.5476386E-03
  3.6000000E+02  2.2543818E-06 -1.0556262E-03 -5.6316753E-03 -8.8432595E-05  4.4934857E-03
  3.6000000E+02  2.4708050E-06 -9.5932640E-04 -5.5257028E-03 -9.8592554E-05  4.4155158E-03
  3.6000000E+02  4.2205787E-06 -9.8619191E-04 -5.4370965E-03 -5.8043867E-05  4.3331207E-03
  3.6000000E+02  8.6800993E-06 -1.4159954E-03 -5.3494788E-03  4.9815290E-05  4.2803692E-03
  3.6000000E+02  4.6500723E-06 -1.4290895E-03 -5.2025698E-03  5.9681744E-05  4.1842479E-03
  3.6000000E+02  2.2705312E-06 -1.4011369E-03 -5.0549260E-03  2.6550080E-05  4.0887191E-03
  3.6000000E+02  1.7876847E-06 -1.3490829E-03 -4.9143092E-03 -9.4844063E-06  4.0110428E-03
  3.6000000E+02  1.9682370E-06 -1.2175179E-03 -4.7814584E-03 -3.7530871E-05  3.9488576E-03
  3.6000000E+02  2.1710692E-06 -1.0104689E-03 -4.6576037E-03 -5.2097820E-05  3.8973072E-03
  3.6000000E+02  2.1473449E-06 -7.6319560E-04 -4.5435986E-03 -5.1910210E-05  3.8505003E-03
  3.6000000E+02  1.8831431E-06 -5.2107662E-04 -4.4394716E-03 -3.8816669E-05  3.8026353E-03
  3.6000000E+02  1.4804843E-06 -3.2484121E-04 -4.3443152E-03 -1.6784825E-05  3.7488180E-03
  3.6000000E+02  1.0726170E-06 -2.0140068E-04 -4.2564340E-03  9.0172780E-06  3.6856018E-03
  3.6000000E+02  7.6893022E-07 -1.5952742E-04 -4.1734904E-03  3.3103172E-05  3.6110993E-03
  3.6000000E+02  6.2875667E-07 -1.8980988E-04 -4.0936516E-03  5.0210084E-05  3.5257394E-03
  3.6000000E+02  6.5042171E-07 -2.6729178E-04 -4.0149347E-03  5.6310038E-05  3.4311521E-03
  3.6000000E+02  7.8544209E-07 -3.5780356E-04 -3.9363256E-03  4.8972258E-05  3.3305134E-03
  3.6000000E+02  9.6232847E-07 -4.2542576E-04 -3.8578242E-03  2.7938803E-05  3.2279698E-03
  3.6000000E+02  1.1206647E-06 -4.4125904E-04 -3.7804553E-03 -4.4311921E-06  3.1281075E-03
  3.6000000E+02  1.2505092E-06 -3.9257210E-04 -3.7059751E-03 -4.2789236E-05  3.0353433E-03
  3.6000000E+02  1.4329854E-06 -2.9158169E-04 -3.6361946E-03 -7.8495148E-05  2.9532664E-03
  3.6000000E+02  1.8779286E-06 -1.8311893E-04 -3.5718373E-03 -9.9382662E-05  2.8839582E-03
  3.6000000E+02  2.9544562E-06 -1.5043634E-04 -3.5108541E-03 -8.9590940E-05  2.8273194E-03
  3.6000000E+02  4.8338363E-06 -2.9287204E-04 -3.4440090E-03 -3.9344535E-05  2.7801217E-03
  3.6000000E+02  1.3839927E-06 -1.1753262E-04 -3.3478155E-03 -1.0663559E-04  2.7370360E-03
  3.6000000E+02 -4.9082984E-08 -2.9829702E-05 -3.2720996E-03 -1.0706941E-04  2.6963007E-03
  3.6000000E+02 -3.6060406E-07 -3.1136449E-07 -3.2077208E-03 -7.5695421E-05  2.6510469E-03
  3.6000000E+02 -1.4366701E-07 -3.2179911E-06 -3.1479358E-03 -3.6461135E-05  2.5986314E-03
  3.6000000E+02  2.3915437E-07 -1.7284288E-05 -3.0882746E-03 -4.1144957E-06  2.5390957E-03
  3.6000000E+02  5.9352497E-07 -2.6212928E-05 -3.0263008E-03  1.3976372E-05  2.4739584E-03
  3.6000000E+02  8.4022596E-07 -1.8845170E-05 -2.9612827E-03  1.6100842E-05  2.4053081E-03
  3.6000000E+02  9.7104487E-07  1.0946189E-05 -2.8938039E-03  4.5955837E-06  2.3351632E-03
